ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688017.SH,2025-10-29,159.82,161.91,158.1,161.91,159.92,1.99,1.2444,39634.51,633754.04
688017.SH,2025-10-30,161.9,164.09,159.0,159.92,161.91,-1.99,-1.2291,45329.8,729431.084
688017.SH,2025-10-31,161.84,167.7,160.66,163.24,159.92,3.32,2.076,64238.73,1056866.208
688017.SH,2025-11-03,164.88,165.82,158.51,159.5,163.24,-3.74,-2.2911,47838.04,774328.714
688017.SH,2025-11-04,159.41,159.44,153.58,154.6,159.5,-4.9,-3.0721,40183.63,625538.326
688017.SH,2025-11-05,150.06,153.61,149.09,150.5,154.6,-4.1,-2.652,33500.78,506836.058
688017.SH,2025-11-06,153.48,163.68,153.04,160.9,150.5,10.4,6.9103,66975.93,1061683.21
688017.SH,2025-11-07,163.8,163.8,156.5,156.53,160.9,-4.37,-2.716,40122.03,634740.902
688017.SH,2025-11-10,156.6,158.53,151.58,152.52,156.53,-4.01,-2.5618,35231.11,540530.105
688017.SH,2025-11-11,154.31,154.86,149.22,150.05,152.52,-2.47,-1.6195,30483.73,462183.566
688017.SH,2025-11-12,151.2,152.82,145.88,146.92,150.05,-3.13,-2.086,38575.93,573754.486
688017.SH,2025-11-13,146.08,149.29,145.0,147.8,146.92,0.88,0.599,27100.78,400004.253
688017.SH,2025-11-14,145.98,147.2,143.46,143.79,147.8,-4.01,-2.7131,25293.27,367258.483
688017.SH,2025-11-17,143.5,146.51,143.01,144.77,143.79,0.98,0.6815,19599.64,284254.204
688017.SH,2025-11-18,144.48,147.0,143.22,146.12,144.77,1.35,0.9325,23383.54,340714.848
688017.SH,2025-11-19,145.8,147.38,143.57,143.88,146.12,-2.24,-1.533,20535.6,297776.517
688017.SH,2025-11-20,145.79,146.48,141.9,141.92,143.88,-1.96,-1.3622,22275.94,319878.744
688017.SH,2025-11-21,140.3,146.46,139.62,143.35,141.92,1.43,1.0076,42801.31,613657.585
688017.SH,2025-11-24,143.81,148.0,140.5,145.51,143.35,2.16,1.5068,36053.16,519310.285
