ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma120,macd_diff,macd_dea,macd_hist,rsi14,daily_return,volatility20,drawdown,volume_ma20
688017.SH,2025-09-03,162.0,163.5,152.98,154.45,159.69,-5.24,-3.2814,96510.25,1517453.181,153.428,146.862,,,5.851378340129884,5.600419944005387,0.5019167922489931,61.29444205336403,-0.03281357630408921,0.4510412780198965,-0.03281357630408921,79060.3105
688017.SH,2025-09-04,155.0,156.11,142.0,144.05,154.45,-10.4,-6.7336,107220.54,1584861.016,152.06,147.1345,,,4.877678150467489,5.455871585297808,-1.156386869660638,48.752801360223046,-0.06733570734865635,0.5174392991109318,-0.09793975828167067,81374.669
688017.SH,2025-09-05,143.41,147.42,142.08,147.15,144.05,3.1,2.152,72807.41,1059173.997,151.33800000000002,147.78199999999998,,,4.30651500300587,5.226000268839421,-1.8389705316671012,51.911358955973256,0.02152030544949657,0.5051749432694961,-0.0785271463460454,82755.8265
688017.SH,2025-09-08,147.65,171.0,147.58,168.7,147.15,21.55,14.6449,179175.43,2953321.142,154.808,149.367,,,5.529033733592854,5.286606961790108,0.4848535436054924,67.09439958019577,0.1464492014950729,0.7116571022539636,0.0,89353.651
688017.SH,2025-09-09,167.0,167.0,161.68,162.5,168.7,-6.2,-3.6752,96750.87,1577963.286,155.37,150.6365,,,5.929251727829438,5.4151359149979745,1.0282316256629276,61.11580775221393,-0.036751630112625944,0.731270905757098,-0.036751630112625944,92324.10949999999
688017.SH,2025-09-10,162.49,166.8,160.53,161.48,162.5,-1.02,-0.6277,81414.99,1329375.088,156.776,151.785,,,6.093875492797366,5.550883830557853,1.0859833244790256,60.16595429353939,-0.00627692307692318,0.7333961970310846,-0.042797866034380516,93878.8665
688017.SH,2025-09-11,161.79,166.57,159.69,165.88,161.48,4.4,2.7248,99141.79,1625541.941,161.142,153.197,,,6.504405502469723,5.741588164940228,1.5256346750589902,62.84832408829092,0.027247956403269713,0.7339859871073477,-0.016716064018968524,95249.73199999999
688017.SH,2025-09-12,168.8,173.0,163.98,166.03,165.88,0.15,0.0904,102291.14,1721812.798,164.91799999999998,154.083,,,6.763887356173484,5.946048003186879,1.6356787059732092,62.939944778829684,0.0009042681456474799,0.6900582053505814,-0.015826911677534028,94423.67050000001
688017.SH,2025-09-15,165.85,178.0,164.84,171.8,166.03,5.77,3.4753,123406.44,2141262.355,165.538,155.3,,,7.3503886676944035,6.226916136088384,2.2469450632120385,66.37509299667043,0.03475275552610979,0.6954689653754809,0.0,95730.8165
688017.SH,2025-09-16,175.0,182.88,171.38,180.39,171.8,8.59,5.0,132726.73,2354033.141,169.11599999999999,156.76049999999998,,,8.411375294467831,6.663807967764274,3.4951346534071135,70.72550915064787,0.04999999999999982,0.708783473876709,0.0,97410.0725
