stock_name,ts_code,trade_date,action,close,short_ma,long_ma,short_window,long_window
平安银行,000001.SZ,2025-02-06,BUY,11.36,11.372,11.365333333333332,5,15
平安银行,000001.SZ,2025-02-28,SELL,11.53,11.546000000000001,11.576666666666666,5,15
平安银行,000001.SZ,2025-03-10,BUY,11.59,11.612,11.607999999999999,5,15
平安银行,000001.SZ,2025-03-20,SELL,11.49,11.594,11.624666666666666,5,15
平安银行,000001.SZ,2025-04-21,BUY,11.02,11.042,11.032666666666668,5,15
平安银行,000001.SZ,2025-04-30,SELL,10.91,10.986,10.994,5,15
平安银行,000001.SZ,2025-05-12,BUY,11.16,11.076,11.041333333333332,5,15
平安银行,000001.SZ,2024-02-20,BUY,9.82,9.561,9.358,10,30
平安银行,000001.SZ,2024-04-02,SELL,10.55,10.501,10.504666666666667,10,30
平安银行,000001.SZ,2024-04-03,BUY,10.46,10.502,10.493333333333332,10,30
平安银行,000001.SZ,2024-04-12,SELL,10.06,10.408000000000001,10.431666666666667,10,30
平安银行,000001.SZ,2024-04-25,BUY,10.61,10.491999999999999,10.461666666666668,10,30
平安银行,000001.SZ,2024-06-12,SELL,10.88,11.0,11.060333333333334,10,30
平安银行,000001.SZ,2024-07-22,BUY,10.23,10.269,10.248,10,30
平安银行,000001.SZ,2024-08-01,SELL,10.27,10.175999999999998,10.183,10,30
平安银行,000001.SZ,2024-08-23,BUY,10.47,10.187000000000001,10.17,10,30
平安银行,000001.SZ,2024-09-09,SELL,9.85,10.126000000000001,10.142333333333333,10,30
平安银行,000001.SZ,2024-09-27,BUY,11.42,10.24,10.189666666666666,10,30
平安银行,000001.SZ,2024-11-08,SELL,11.72,11.559999999999999,11.614666666666668,10,30
平安银行,000001.SZ,2024-12-11,BUY,11.73,11.535,11.532,10,30
平安银行,000001.SZ,2025-01-09,SELL,11.4,11.6,11.607666666666665,10,30
平安银行,000001.SZ,2025-02-17,BUY,11.78,11.468,11.456666666666667,10,30
平安银行,000001.SZ,2025-03-25,SELL,11.43,11.589,11.595666666666666,10,30
平安银行,000001.SZ,2025-05-14,BUY,11.43,11.099,11.063999999999998,10,30
平安银行,000001.SZ,2024-04-02,BUY,10.55,10.4615,9.931333333333333,20,60
平安银行,000001.SZ,2024-06-24,SELL,9.98,10.7125,10.727,20,60
平安银行,000001.SZ,2024-09-04,BUY,10.02,10.18,10.175,20,60
平安银行,000001.SZ,2024-09-13,SELL,9.7,10.1285,10.1355,20,60
平安银行,000001.SZ,2024-09-30,BUY,12.21,10.2265,10.192666666666668,20,60
平安银行,000001.SZ,2024-12-18,SELL,11.65,11.511,11.519499999999999,20,60
平安银行,000001.SZ,2024-12-30,BUY,11.95,11.687999999999999,11.668833333333334,20,60
平安银行,000001.SZ,2025-01-21,SELL,11.33,11.5455,11.547166666666667,20,60
平安银行,000001.SZ,2025-03-05,BUY,11.66,11.5535,11.548499999999999,20,60
平安银行,000001.SZ,2025-04-07,SELL,10.7,11.4575,11.4745,20,60
平安银行,000001.SZ,2025-05-29,BUY,11.46,11.2955,11.294666666666666,20,60
绿的谐波,688017.SH,2025-07-18,BUY,128.89,126.68199999999999,122.22666666666667,5,15
绿的谐波,688017.SH,2025-10-14,SELL,153.27,170.41199999999998,174.19266666666667,5,15
绿的谐波,688017.SH,2025-10-30,BUY,159.92,160.32199999999997,159.01733333333334,5,15
绿的谐波,688017.SH,2025-11-07,SELL,156.53,156.406,157.94466666666668,5,15
绿的谐波,688017.SH,2025-12-01,BUY,149.9,146.13,145.6506666666667,5,15
绿的谐波,688017.SH,2025-12-19,SELL,154.14,152.982,153.178,5,15
绿的谐波,688017.SH,2025-12-22,BUY,159.35,154.118,153.808,5,15
绿的谐波,688017.SH,2026-03-04,SELL,211.2,223.546,225.7893333333333,5,15
绿的谐波,688017.SH,2026-04-01,BUY,201.99,191.274,191.14333333333335,5,15
绿的谐波,688017.SH,2026-06-02,SELL,306.0,307.286,314.9173333333334,5,15
绿的谐波,688017.SH,2026-06-08,BUY,428.25,353.926,334.29066666666665,5,15
绿的谐波,688017.SH,2026-06-26,SELL,369.46,383.096,389.1566666666667,5,15
绿的谐波,688017.SH,2025-08-08,BUY,134.2,132.60999999999999,127.137,10,30
绿的谐波,688017.SH,2025-10-20,SELL,155.68,165.66400000000002,166.395,10,30
绿的谐波,688017.SH,2025-12-10,BUY,158.27,151.715,150.59966666666668,10,30
绿的谐波,688017.SH,2026-03-10,SELL,215.8,220.391,220.58133333333333,10,30
绿的谐波,688017.SH,2026-04-15,BUY,206.5,199.156,197.54,10,30
绿的谐波,688017.SH,2025-09-19,BUY,169.92,161.08599999999998,141.30033333333333,20,60
绿的谐波,688017.SH,2025-11-07,SELL,156.53,157.8765,158.97483333333332,20,60
绿的谐波,688017.SH,2025-12-29,BUY,175.01,156.7475,155.706,20,60
绿的谐波,688017.SH,2026-03-25,SELL,187.97,204.3395,205.241,20,60
绿的谐波,688017.SH,2026-05-07,BUY,230.48,210.0365,209.45116666666667,20,60
