ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source_file,stock_name,short_ma,long_ma,target_position,trade_signal,position,market_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,running_peak,drawdown,short_window,long_window
688017.SH,2026-02-06,202.0,224.68,198.48,217.4,205.12,12.28,5.9867,122211.14,2616926.611,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,212.93849999999998,177.21916666666667,1.0,0,1.0,0.059867394695787945,0.0,0.0,0.059867394695787945,114100.89616852184,174073.18440227385,120189.07646086246,-0.05065502183406101,20,60
688017.SH,2026-02-09,221.0,227.0,215.5,226.12,217.4,8.72,4.011,88915.46,1970498.504,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,214.34449999999998,178.5245,1.0,0,1.0,0.04011039558417662,0.0,0.0,0.04011039558417662,118677.52825035031,181055.32868924638,120189.07646086246,-0.012576419213973677,20,60
688017.SH,2026-02-10,226.5,233.78,225.0,229.0,226.12,2.88,1.2737,82858.95,1897416.604,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,215.54449999999997,179.94466666666668,1.0,0,1.0,0.012736600035379464,0.0,0.0,0.012736600035379464,120189.07646086247,183361.35799503548,120189.07646086247,0.0,20,60
688017.SH,2026-02-11,228.0,236.8,225.01,228.8,229.0,-0.2,-0.0873,61530.46,1416120.489,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,216.98449999999997,181.34516666666664,1.0,0,1.0,-0.0008733624454148048,0.0,0.0,-0.0008733624454148048,120084.10783513248,183201.21707102234,120189.07646086247,-0.0008733624454146938,20,60
688017.SH,2026-02-12,230.51,237.66,229.79,234.48,228.8,5.68,2.4825,73563.79,1720232.303,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,218.66500000000002,182.81783333333337,1.0,0,1.0,0.024825174825174656,0.0,0.0,0.024825174825174656,123065.21680586478,187749.21931299524,123065.21680586478,0.0,20,60
688017.SH,2026-02-13,231.0,242.53,228.25,242.38,234.48,7.9,3.3692,99918.58,2373978.672,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,219.75900000000001,184.4595,1.0,0,1.0,0.0336915728420335,0.0,0.0,0.0336915728420335,127211.4775222002,194074.78581151395,127211.4775222002,0.0,20,60
688017.SH,2026-02-24,242.42,248.42,226.0,232.7,242.38,-9.68,-3.9937,130951.59,3086510.608,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,220.67649999999998,185.9725,1.0,0,1.0,-0.03993728855516132,0.0,0.0,-0.03993728855516132,122130.99603686768,186323.96508927838,127211.4775222002,-0.03993728855516132,20,60
688017.SH,2026-02-25,228.05,237.88,223.01,236.6,232.7,3.9,1.676,94006.93,2157291.295,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,221.68449999999999,187.52666666666664,1.0,0,1.0,0.016759776536312776,0.0,0.0,0.016759776536312776,124177.88423860287,189446.71310753442,127211.4775222002,-0.023846852050499412,20,60
688017.SH,2026-02-26,233.0,243.95,230.9,237.03,236.6,0.43,0.1817,87770.45,2091416.355,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,222.786,189.052,1.0,0,1.0,0.0018174133558748196,0.0,0.0,0.0018174133558748196,124403.56678392239,189791.01609416265,127211.4775222002,-0.022072778282036687,20,60
688017.SH,2026-02-27,233.0,237.9,229.3,232.37,237.03,-4.66,-1.966,57213.52,1335099.684,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,223.8195,190.52966666666669,1.0,0,1.0,-0.01965995865502257,0.0,0.0,-0.01965995865502257,121957.79780441313,186059.73256465668,127211.4775222002,-0.04129878702863299,20,60
688017.SH,2026-03-02,224.0,235.0,222.35,227.55,232.37,-4.82,-2.0743,84157.9,1913594.894,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,224.3865,191.90033333333335,1.0,0,1.0,-0.02074278090975601,0.0,0.0,-0.02074278090975601,119428.05392431987,182200.33629594021,127211.4775222002,-0.06118491624721534,20,60
688017.SH,2026-03-03,226.9,229.0,209.05,209.58,227.55,-17.97,-7.8972,104316.82,2260971.692,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,224.6455,192.98,1.0,0,1.0,-0.07897165458141064,0.0,0.0,-0.07897165458141064,109996.6229024784,167811.67427336038,127211.4775222002,-0.1353246967571583,20,60
688017.SH,2026-03-04,208.91,214.88,208.91,211.2,209.58,1.62,0.773,58432.72,1241869.454,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,224.1555,194.05116666666666,1.0,0,1.0,0.007729745204694938,0.0,0.0,0.007729745204694938,110846.86877089147,169108.8157578667,127211.4775222002,-0.1286409769782989,20,60
688017.SH,2026-03-05,217.95,218.18,211.66,212.99,211.2,1.79,0.8475,44026.24,946779.48,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,224.27799999999996,195.10266666666666,1.0,0,1.0,0.008475378787878851,0.0,0.0,0.008475378787878851,111786.33797117507,170542.07702778422,127211.4775222002,-0.12125587919795389,20,60
688017.SH,2026-03-06,212.66,216.88,211.69,212.45,212.99,-0.54,-0.2535,35822.47,766749.533,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,224.2775,196.237,1.0,0,1.0,-0.0025353302971971026,0.0,0.0,-0.0025353302971971026,111502.92268170403,170109.69653294876,127211.4775222002,-0.12348378579090713,20,60
688017.SH,2026-03-09,204.03,209.66,200.1,208.34,212.45,-4.11,-1.9346,59425.09,1211869.114,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,223.24449999999996,197.28516666666664,1.0,0,1.0,-0.019345728406683804,0.0,0.0,-0.019345728406683804,109345.81742295233,166818.80054447893,127211.4775222002,-0.14044063041505095,20,60
688017.SH,2026-03-10,212.04,217.3,211.0,215.8,208.34,7.46,3.5807,54413.47,1165302.465,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,223.07049999999998,198.32833333333335,1.0,0,1.0,0.0358068541806662,0.0,0.0,0.0358068541806662,113261.14716268174,172792.05701016873,127211.4775222002,-0.10966251340869726,20,60
688017.SH,2026-03-11,214.66,215.55,208.35,208.7,215.8,-7.1,-3.2901,46716.07,988295.059,TASK1/data/688017.SH_daily_20250629_20260629.csv,绿的谐波,222.256,199.18183333333334,1.0,0,1.0,-0.032900834105653476,0.0,0.0,-0.032900834105653476,109534.76094926635,167107.05420770255,127211.4775222002,-0.13895535935308212,20,60
