stock_name,ts_code,trade_date,action,signal_reason,close,upper_channel,lower_channel,atr,atr_stop,entry_window,exit_window,atr_period,atr_stop_multiple
平安银行,000001.SZ,2024-05-30,SELL,ATR_STOP,11.12,11.74,10.83,0.22299909943359197,11.120002211318594,20,10,20,2.0
平安银行,000001.SZ,2024-08-20,BUY,BREAKOUT,10.34,10.33,9.87,0.1558691097544436,10.028261780491112,20,10,20,2.0
平安银行,000001.SZ,2024-08-29,SELL,ATR_STOP,10.13,10.55,9.87,0.16042431356452067,10.18068565565364,20,10,20,2.0
平安银行,000001.SZ,2024-09-26,BUY,BREAKOUT,11.15,10.7,9.61,0.20006576864371003,10.74986846271258,20,10,20,2.0
平安银行,000001.SZ,2024-10-09,SELL,ATR_STOP,11.68,13.43,9.66,0.34433525647135593,12.283504723218199,20,10,20,2.0
平安银行,000001.SZ,2025-02-17,BUY,BREAKOUT,11.78,11.59,11.22,0.18284459024700894,11.414310819505982,20,10,20,2.0
平安银行,000001.SZ,2025-03-17,SELL,ATR_STOP,11.5,12.0,11.44,0.1783286266124124,11.648255522921238,20,10,20,2.0
平安银行,000001.SZ,2025-05-13,BUY,BREAKOUT,11.29,11.22,10.89,0.12852053915183365,11.032958921696332,20,10,20,2.0
平安银行,000001.SZ,2025-07-16,SELL,ATR_STOP,12.64,13.33,12.23,0.24636219882340918,12.72298137964341,20,10,20,2.0
平安银行,000001.SZ,2024-05-17,BUY,BREAKOUT,11.42,11.24,10.21,0.2134519023230693,10.99309619535386,55,20,20,2.0
平安银行,000001.SZ,2024-05-30,SELL,ATR_STOP,11.12,11.74,10.52,0.22299909943359197,11.120002211318594,55,20,20,2.0
平安银行,000001.SZ,2024-09-26,BUY,BREAKOUT,11.15,10.7,9.61,0.20006576864371003,10.74986846271258,55,20,20,2.0
平安银行,000001.SZ,2024-10-09,SELL,ATR_STOP,11.68,13.43,9.61,0.34433525647135593,12.283504723218199,55,20,20,2.0
